Resuming: 30 already done, 185 remaining.
[67/215] RHEL-08-020024 accounts_max_concurrent_login_sessions: extracted 1167 chars (fenced=True)
[68/215] RHEL-08-010741 accounts_users_home_files_groupownership: extracted 1806 chars (fenced=True)
[69/215] RHEL-08-010731 accounts_users_home_files_permissions: extracted 1932 chars (fenced=True)
[70/215] RHEL-08-010770 file_permission_user_init_files_root: extracted 2634 chars (fenced=True)
[71/215] RHEL-08-020353 accounts_umask_etc_bashrc: extracted 1825 chars (fenced=True)
[72/215] RHEL-08-020353 accounts_umask_etc_csh_cshrc: extracted 1111 chars (fenced=True)
[73/215] RHEL-08-020351 accounts_umask_etc_login_defs: extracted 1839 chars (fenced=True)
[74/215] RHEL-08-040004 grub2_pti_argument: extracted 3083 chars (fenced=True)
[75/215] RHEL-08-010422 grub2_vsyscall_argument: extracted 2422 chars (fenced=True)
[76/215] RHEL-08-030720 rsyslog_encrypt_offload_actionsendstreamdriverauthmode: extracted 3283 chars (fenced=True)
[77/215] RHEL-08-030710 rsyslog_encrypt_offload_actionsendstreamdrivermode: extracted 2738 chars (fenced=True)
[78/215] RHEL-08-030710 rsyslog_encrypt_offload_defaultnetstreamdriver: extracted 4957 chars (fenced=True)
[79/215] RHEL-08-010070 rsyslog_remote_access_monitoring: extracted 3078 chars (fenced=True)
[80/215] RHEL-08-030690 rsyslog_remote_loghost: extracted 4133 chars (fenced=True)
[81/215] RHEL-08-040261 sysctl_net_ipv6_conf_all_accept_ra: extracted 1914 chars (fenced=True)
[82/215] RHEL-08-040280 sysctl_net_ipv6_conf_all_accept_redirects: extracted 1705 chars (fenced=True)
[83/215] RHEL-08-040240 sysctl_net_ipv6_conf_all_accept_source_route: extracted 2385 chars (fenced=True)
[84/215] RHEL-08-040260 sysctl_net_ipv6_conf_all_forwarding: extracted 1742 chars (fenced=True)
[85/215] RHEL-08-040262 sysctl_net_ipv6_conf_default_accept_ra: extracted 1123 chars (fenced=True)
[86/215] RHEL-08-040210 sysctl_net_ipv6_conf_default_accept_redirects: extracted 1222 chars (fenced=True)
[87/215] RHEL-08-040250 sysctl_net_ipv6_conf_default_accept_source_route: extracted 1108 chars (fenced=True)
[88/215] RHEL-08-040279 sysctl_net_ipv4_conf_all_accept_redirects: extracted 1790 chars (fenced=True)
[89/215] RHEL-08-040259 sysctl_net_ipv4_conf_all_forwarding: extracted 1596 chars (fenced=True)
[90/215] RHEL-08-040209 sysctl_net_ipv4_conf_default_accept_redirects: extracted 1407 chars (fenced=True)
[91/215] RHEL-08-040249 sysctl_net_ipv4_conf_default_accept_source_route: extracted 1346 chars (fenced=True)
[92/215] RHEL-08-040230 sysctl_net_ipv4_icmp_echo_ignore_broadcasts: extracted 1447 chars (fenced=True)
[93/215] RHEL-08-040220 sysctl_net_ipv4_conf_all_send_redirects: extracted 1765 chars (fenced=True)
[94/215] RHEL-08-040270 sysctl_net_ipv4_conf_default_send_redirects: extracted 978 chars (fenced=True)
[95/215] RHEL-08-040021 kernel_module_atm_disabled: extracted 1097 chars (fenced=True)
[96/215] RHEL-08-040022 kernel_module_can_disabled: extracted 1233 chars (fenced=True)
[97/215] RHEL-08-040026 kernel_module_firewire-core_disabled: extracted 974 chars (fenced=True)
[98/215] RHEL-08-040023 kernel_module_sctp_disabled: extracted 1034 chars (fenced=True)
[99/215] RHEL-08-040024 kernel_module_tipc_disabled: extracted 1277 chars (fenced=True)
[100/215] RHEL-08-040111 kernel_module_bluetooth_disabled: extracted 1422 chars (fenced=True)
[101/215] RHEL-08-040025 kernel_module_cramfs_disabled: extracted 1707 chars (fenced=True)
[102/215] RHEL-08-040080 kernel_module_usb-storage_disabled: extracted 1379 chars (fenced=True)
[103/215] RHEL-08-010571 mount_option_boot_nosuid: extracted 2285 chars (fenced=True)
[104/215] RHEL-08-040120 mount_option_dev_shm_nodev: extracted 1467 chars (fenced=True)
[105/215] RHEL-08-040122 mount_option_dev_shm_noexec: extracted 1625 chars (fenced=True)
[106/215] RHEL-08-040121 mount_option_dev_shm_nosuid: extracted 1878 chars (fenced=True)
[107/215] RHEL-08-010580 mount_option_nodev_nonroot_local_partitions: extracted 3768 chars (fenced=True)
[108/215] RHEL-08-040020 kernel_module_uvcvideo_disabled: extracted 648 chars (fenced=True)
[109/215] RHEL-08-010671 sysctl_kernel_core_pattern: extracted 2880 chars (fenced=True)
[110/215] RHEL-08-010375 sysctl_kernel_dmesg_restrict: extracted 1982 chars (fenced=True)
[111/215] RHEL-08-010372 sysctl_kernel_kexec_load_disabled: extracted 1566 chars (fenced=True)
[112/215] RHEL-08-010376 sysctl_kernel_perf_event_paranoid: extracted 1702 chars (fenced=True)
[113/215] RHEL-08-040281 sysctl_kernel_unprivileged_bpf_disabled: extracted 1567 chars (fenced=True)
[114/215] RHEL-08-040282 sysctl_kernel_yama_ptrace_scope: extracted 1784 chars (fenced=True)
[115/215] RHEL-08-040286 sysctl_net_core_bpf_jit_harden: extracted 2299 chars (fenced=True)
[116/215] None sysctl_user_max_user_namespaces: extracted 2564 chars (fenced=True)
[117/215] RHEL-08-010672 service_systemd-coredump_disabled: extracted 2225 chars (fenced=True)
[118/215] RHEL-08-010675 coredump_disable_backtraces: extracted 1553 chars (fenced=True)
[119/215] RHEL-08-010674 coredump_disable_storage: extracted 2843 chars (fenced=True)
[120/215] RHEL-08-010673 disable_users_coredumps: extracted 2752 chars (fenced=True)
[121/215] RHEL-08-010430 sysctl_kernel_randomize_va_space: extracted 1625 chars (fenced=True)
[122/215] RHEL-08-010421 grub2_page_poison_argument: extracted 2703 chars (fenced=True)
[123/215] None grub2_slub_debug_argument: extracted 2681 chars (fenced=True)
[124/215] RHEL-08-010670 service_kdump_disabled: extracted 3029 chars (fenced=True)
[125/215] RHEL-08-040135 package_fapolicyd_installed: extracted 2072 chars (fenced=True)
[126/215] RHEL-08-040136 service_fapolicyd_enabled: extracted 2370 chars (fenced=True)
[127/215] RHEL-08-040137 fapolicy_default_deny: extracted 5578 chars (fenced=True)
[128/215] RHEL-08-010358 package_mailx_installed: extracted 1458 chars (fenced=True)
[129/215] RHEL-08-030030 package_postfix_installed: extracted 2183 chars (fenced=True)
[130/215] RHEL-08-030741 chronyd_client_only: extracted 3122 chars (fenced=True)
[131/215] RHEL-08-030742 chronyd_no_chronyc_network: extracted 943 chars (fenced=True)
[132/215] RHEL-08-030740 chronyd_or_ntpd_set_maxpoll: extracted 3379 chars (fenced=True)
[133/215] RHEL-08-010200 sshd_set_keepalive: extracted 1343 chars (fenced=True)
[134/215] RHEL-08-010201 sshd_set_idle_timeout: extracted 2395 chars (fenced=True)
[135/215] RHEL-08-020330 sshd_disable_empty_passwords: extracted 1971 chars (fenced=True)
[136/215] RHEL-08-010522 sshd_disable_gssapi_auth: extracted 2512 chars (fenced=True)
[137/215] RHEL-08-010521 sshd_disable_kerb_auth: extracted 1883 chars (fenced=True)
[138/215] RHEL-08-010550 sshd_disable_root_login: extracted 1495 chars (fenced=True)
[139/215] RHEL-08-010520 sshd_disable_user_known_hosts: extracted 1971 chars (fenced=True)
[140/215] RHEL-08-040340 sshd_disable_x11_forwarding: extracted 2279 chars (fenced=True)
[141/215] RHEL-08-010830 sshd_do_not_permit_user_env: extracted 1272 chars (fenced=True)
[142/215] RHEL-08-010500 sshd_enable_strictmodes: extracted 2285 chars (fenced=True)
[143/215] RHEL-08-010040 sshd_enable_warning_banner: extracted 2906 chars (fenced=True)
[144/215] RHEL-08-020350 sshd_print_last_log: extracted 1590 chars (fenced=True)
[145/215] RHEL-08-040161 sshd_rekey_limit: extracted 4596 chars (fenced=True)
[146/215] RHEL-08-010292 sshd_use_strong_rng: extracted 1970 chars (fenced=True)
[147/215] RHEL-08-040341 sshd_x11_use_localhost: extracted 3229 chars (fenced=True)
[148/215] RHEL-08-010400 sssd_certificate_verification: extracted 2284 chars (fenced=True)
[149/215] RHEL-08-020250 sssd_enable_smartcards: extracted 6129 chars (fenced=True)
[150/215] RHEL-08-040139 package_usbguard_installed: extracted 1320 chars (fenced=True)
[151/215] RHEL-08-040141 service_usbguard_enabled: extracted 1175 chars (fenced=True)
[152/215] RHEL-08-040140 usbguard_generate_policy: extracted 2180 chars (fenced=True)
[153/215] RHEL-08-040320 xwindows_remove_packages: extracted 2652 chars (fenced=True)
[154/215] RHEL-08-040321 xwindows_runlevel_target: extracted 661 chars (fenced=True)
[155/215] RHEL-08-030601 grub2_audit_argument: extracted 2093 chars (fenced=True)
[156/215] RHEL-08-030602 grub2_audit_backlog_limit_argument: extracted 2293 chars (fenced=True)
[157/215] RHEL-08-030121 audit_rules_immutable: extracted 2996 chars (fenced=True)
[158/215] RHEL-08-030122 audit_rules_immutable_login_uids: extracted 2497 chars (fenced=True)
[159/215] RHEL-08-030302 audit_rules_media_export: extracted 1912 chars (fenced=True)
[160/215] RHEL-08-030171 audit_rules_sudoers: extracted 1809 chars (fenced=True)
[161/215] RHEL-08-030172 audit_rules_sudoers_d: extracted 1168 chars (fenced=True)
[162/215] RHEL-08-030000 audit_rules_suid_privilege_function: extracted 2395 chars (fenced=True)
[163/215] RHEL-08-030170 audit_rules_usergroup_modification_group: extracted 2210 chars (fenced=True)
[164/215] RHEL-08-030160 audit_rules_usergroup_modification_gshadow: extracted 1800 chars (fenced=True)
[165/215] RHEL-08-030140 audit_rules_usergroup_modification_opasswd: extracted 1483 chars (fenced=True)
[166/215] RHEL-08-030150 audit_rules_usergroup_modification_passwd: extracted 1563 chars (fenced=True)
[167/215] RHEL-08-030130 audit_rules_usergroup_modification_shadow: extracted 1241 chars (fenced=True)
[168/215] RHEL-08-030490 audit_rules_dac_modification_chmod: extracted 2394 chars (fenced=True)
[169/215] RHEL-08-030480 audit_rules_dac_modification_chown: extracted 1332 chars (fenced=True)
[170/215] RHEL-08-030490 audit_rules_dac_modification_fchmod: extracted 1529 chars (fenced=True)
[171/215] RHEL-08-030490 audit_rules_dac_modification_fchmodat: extracted 1514 chars (fenced=True)
[172/215] RHEL-08-030480 audit_rules_dac_modification_fchown: extracted 776 chars (fenced=True)
[173/215] RHEL-08-030480 audit_rules_dac_modification_fchownat: extracted 2297 chars (fenced=True)
[174/215] RHEL-08-030200 audit_rules_dac_modification_fremovexattr: extracted 3291 chars (fenced=True)
[175/215] RHEL-08-030200 audit_rules_dac_modification_fsetxattr: extracted 1779 chars (fenced=True)
[176/215] RHEL-08-030480 audit_rules_dac_modification_lchown: extracted 1981 chars (fenced=True)
[177/215] RHEL-08-030200 audit_rules_dac_modification_lremovexattr: extracted 2292 chars (fenced=True)
[178/215] RHEL-08-030200 audit_rules_dac_modification_lsetxattr: extracted 2559 chars (fenced=True)
[179/215] RHEL-08-030200 audit_rules_dac_modification_removexattr: extracted 1304 chars (fenced=True)
[180/215] RHEL-08-030200 audit_rules_dac_modification_setxattr: extracted 1833 chars (fenced=True)
[181/215] RHEL-08-030570 audit_rules_execution_chacl: extracted 1870 chars (fenced=True)
[182/215] RHEL-08-030330 audit_rules_execution_setfacl: extracted 2570 chars (fenced=True)
[183/215] RHEL-08-030260 audit_rules_execution_chcon: extracted 1706 chars (fenced=True)
[184/215] RHEL-08-030313 audit_rules_execution_semanage: extracted 2066 chars (fenced=True)
[185/215] RHEL-08-030314 audit_rules_execution_setfiles: extracted 2195 chars (fenced=True)
[186/215] RHEL-08-030316 audit_rules_execution_setsebool: extracted 2269 chars (fenced=True)
[187/215] RHEL-08-030361 audit_rules_file_deletion_events_rename: extracted 3946 chars (fenced=True)
[188/215] RHEL-08-030361 audit_rules_file_deletion_events_renameat: extracted 3161 chars (fenced=True)
[189/215] RHEL-08-030361 audit_rules_file_deletion_events_rmdir: extracted 965 chars (fenced=True)
[190/215] RHEL-08-030361 audit_rules_file_deletion_events_unlink: extracted 1006 chars (fenced=True)
[191/215] RHEL-08-030361 audit_rules_file_deletion_events_unlinkat: extracted 2435 chars (fenced=True)
[192/215] RHEL-08-030420 audit_rules_unsuccessful_file_modification_creat: extracted 1098 chars (fenced=True)
[193/215] RHEL-08-030420 audit_rules_unsuccessful_file_modification_ftruncate: extracted 2406 chars (fenced=True)
[194/215] RHEL-08-030420 audit_rules_unsuccessful_file_modification_open: extracted 2235 chars (fenced=True)
[195/215] RHEL-08-030420 audit_rules_unsuccessful_file_modification_open_by_handle_at: extracted 1474 chars (fenced=True)
[196/215] RHEL-08-030420 audit_rules_unsuccessful_file_modification_openat: extracted 2043 chars (fenced=True)
[197/215] RHEL-08-030420 audit_rules_unsuccessful_file_modification_truncate: extracted 2918 chars (fenced=True)
[198/215] RHEL-08-030390 audit_rules_kernel_module_loading_delete: extracted 2282 chars (fenced=True)
[199/215] RHEL-08-030360 audit_rules_kernel_module_loading_finit: extracted 1358 chars (fenced=True)
[200/215] RHEL-08-030360 audit_rules_kernel_module_loading_init: extracted 933 chars (fenced=True)
[201/215] RHEL-08-030590 audit_rules_login_events_faillock: extracted 1965 chars (fenced=True)
[202/215] RHEL-08-030600 audit_rules_login_events_lastlog: extracted 2885 chars (fenced=True)
[203/215] RHEL-08-030580 audit_rules_privileged_commands_kmod: extracted 2810 chars (fenced=True)
[204/215] RHEL-08-030311 audit_rules_privileged_commands_postdrop: extracted 2168 chars (fenced=True)
[205/215] RHEL-08-030312 audit_rules_privileged_commands_postqueue: extracted 2891 chars (fenced=True)
[206/215] RHEL-08-030280 audit_rules_privileged_commands_ssh_agent: extracted 2324 chars (fenced=True)
[207/215] RHEL-08-030320 audit_rules_privileged_commands_ssh_keysign: extracted 2283 chars (fenced=True)
[208/215] RHEL-08-030310 audit_rules_privileged_commands_unix_update: extracted 1259 chars (fenced=True)
[209/215] RHEL-08-030560 audit_rules_privileged_commands_usermod: extracted 708 chars (fenced=True)
[210/215] RHEL-08-030040 auditd_data_disk_error_action: extracted 727 chars (fenced=True)
[211/215] RHEL-08-030060 auditd_data_disk_full_action: extracted 1364 chars (fenced=True)
[212/215] RHEL-08-030731 auditd_data_retention_space_left_action: extracted 1704 chars (fenced=True)
[213/215] RHEL-08-030730 auditd_data_retention_space_left_percentage: extracted 1521 chars (fenced=True)
[214/215] RHEL-08-030062 auditd_name_format: extracted 1914 chars (fenced=True)
[215/215] RHEL-08-030610 file_permissions_etc_audit_rulesd: extracted 972 chars (fenced=True)

Total predictions: 215 | cleanly extracted: 215
Predictions -> benchmark/predictions_opus_gpt4oauthored.jsonl
Report -> benchmark/sample_predictions_opus_gpt4oauthored.md
